no,sex,age,height(cm),weight(kg),bmi,city,sub thermal preference(-1:cool 0:n 1:warm),thermal sensitivity(0:in 1:slight 2:very),environment assess(-1:cool 0:n 1:warm),importance of tin(1:vui ~ 5:vi),importance of hin(1:vui ~ 5:vi),importance of ari_quality(1:vui ~ 5:vi),importance of air_speed(1:vui ~ 5:vi),importance of weather(1:vui ~ 5:vi),importance of tout(1:vui ~ 5:vi),importance of hout(1:vui ~ 5:vi),importance of mood(1:vui ~ 5:vi), importance of emotion to tolerance(1:vui ~ 5:vi),date,time,room,seat,cloth,thermal sensation,humidity sensation,thermal acceptance(1:a 0:una),"thermal comfort (1:com,0:uncom",air speed acceptable (1:a 0:una),"thermal preference(-1:c,0:not change,1:w)","mood(1:pos,0:neural,1:neg)",temp,humid
0,1,21,176,56,18.0785124,陕西省西安市,0,2,-1,5,4,5,5,4,4,4,5,5,2021/7/21,09:00:00,room5,7,T恤+直裤+普通鞋款,-2.1,0.0,1.0,0.0,1.0,1.0,-1.0,23.7,58.9
0,1,21,176,56,18.0785124,陕西省西安市,0,2,-1,5,4,5,5,4,4,4,5,5,2021/7/21,09:30:00,room5,7,T恤+直裤+普通鞋款,-1.7,0.0,1.0,0.0,1.0,1.0,-1.0,24.0,57.4
0,1,21,176,56,18.0785124,陕西省西安市,0,2,-1,5,4,5,5,4,4,4,5,5,2021/7/21,10:00:00,room5,7,T恤+直裤+普通鞋款,-2.0,-0.5,1.0,0.0,1.0,1.0,-1.0,25.4,53.0
0,1,21,176,56,18.0785124,陕西省西安市,0,2,-1,5,4,5,5,4,4,4,5,5,2021/7/21,10:30:00,room5,7,T恤+直裤+普通鞋款,-1.8,0.0,1.0,0.0,1.0,1.0,-1.0,25.4,51.2
0,1,21,176,56,18.0785124,陕西省西安市,0,2,-1,5,4,5,5,4,4,4,5,5,2021/7/21,11:00:00,room5,7,T恤+直裤+普通鞋款,-1.5,0.0,1.0,1.0,1.0,1.0,0.0,25.6,51.8
0,1,21,176,56,18.0785124,陕西省西安市,0,2,-1,5,4,5,5,4,4,4,5,5,2021/7/21,11:30:00,room5,7,T恤+直裤+普通鞋款,-1.0,0.0,1.0,1.0,1.0,0.0,1.0,25.5,50.4
0,1,21,176,56,18.0785124,陕西省西安市,0,2,-1,5,4,5,5,4,4,4,5,5,2021/7/21,12:00:00,room5,7,T恤+直裤+普通鞋款,-1.0,0.0,1.0,1.0,1.0,0.0,1.0,25.4,49.5
0,1,21,176,56,18.0785124,陕西省西安市,0,2,-1,5,4,5,5,4,4,4,5,5,2021/7/21,14:30:00,room5,7,T恤+直裤+普通鞋款,nan,nan,nan,nan,nan,nan,nan,24.8,57.7
0,1,21,176,56,18.0785124,陕西省西安市,0,2,-1,5,4,5,5,4,4,4,5,5,2021/7/21,15:00:00,room5,7,T恤+直裤+普通鞋款,nan,nan,nan,nan,nan,nan,nan,24.7,57.9
0,1,21,176,56,18.0785124,陕西省西安市,0,2,-1,5,4,5,5,4,4,4,5,5,2021/7/21,15:30:00,room5,7,T恤+直裤+普通鞋款,nan,nan,nan,nan,nan,nan,nan,24.5,57.4
0,1,21,176,56,18.0785124,陕西省西安市,0,2,-1,5,4,5,5,4,4,4,5,5,2021/7/21,16:00:00,room5,7,T恤+直裤+普通鞋款,nan,nan,nan,nan,nan,nan,nan,24.5,57.4
0,1,21,176,56,18.0785124,陕西省西安市,0,2,-1,5,4,5,5,4,4,4,5,5,2021/7/21,16:30:00,room5,7,T恤+直裤+普通鞋款,nan,nan,nan,nan,nan,nan,nan,24.6,58.4
0,1,21,176,56,18.0785124,陕西省西安市,0,2,-1,5,4,5,5,4,4,4,5,5,2021/7/21,17:00:00,room5,7,T恤+直裤+普通鞋款,nan,nan,nan,nan,nan,nan,nan,24.6,58.0
0,1,21,176,56,18.0785124,陕西省西安市,0,2,-1,5,4,5,5,4,4,4,5,5,2021/7/21,17:30:00,room5,7,T恤+直裤+普通鞋款,nan,nan,nan,nan,nan,nan,nan,24.4,57.7
0,1,21,176,56,18.0785124,陕西省西安市,0,2,-1,5,4,5,5,4,4,4,5,5,2021/7/21,18:00:00,room5,7,T恤+直裤+普通鞋款,nan,nan,nan,nan,nan,nan,nan,24.3,57.9
0,1,21,176,56,18.0785124,陕西省西安市,0,2,-1,5,4,5,5,4,4,4,5,5,2021/7/22,16:30:00,room5,5,长袖+直裤+普通鞋款,1.0,0.0,0.0,0.0,1.0,-1.0,0.0,27.0,60.8
0,1,21,176,56,18.0785124,陕西省西安市,0,2,-1,5,4,5,5,4,4,4,5,5,2021/7/22,17:00:00,room5,5,长袖+直裤+普通鞋款,0.7,0.0,1.0,1.0,1.0,-1.0,0.0,27.0,60.8
0,1,21,176,56,18.0785124,陕西省西安市,0,2,-1,5,4,5,5,4,4,4,5,5,2021/7/22,17:30:00,room5,5,长袖+直裤+普通鞋款,0.0,0.0,1.0,1.0,1.0,-1.0,0.0,26.9,60.8
0,1,21,176,56,18.0785124,陕西省西安市,0,2,-1,5,4,5,5,4,4,4,5,5,2021/7/22,18:00:00,room5,5,长袖+直裤+普通鞋款,0.3,0.0,1.0,1.0,1.0,-1.0,0.0,26.9,61.2
0,1,21,176,56,18.0785124,陕西省西安市,0,2,-1,5,4,5,5,4,4,4,5,5,2021/7/22,09:00:00,room5,5,长袖+直裤+普通鞋款,-0.5,0.0,1.0,1.0,1.0,0.0,1.0,24.4,59.6
0,1,21,176,56,18.0785124,陕西省西安市,0,2,-1,5,4,5,5,4,4,4,5,5,2021/7/22,09:30:00,room5,5,长袖+直裤+普通鞋款,-0.2,-0.5,1.0,1.0,1.0,0.0,1.0,24.6,59.3
